    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
   Compiling arecibo v0.2.0 (https://github.com/lurk-lab/arecibo?branch=preallocate-msm#6876c069)
   Compiling lurk v0.3.1 (/home/paperspace/lurk-lab/lurk-rs)
    Finished bench [optimized] target(s) in 1m 26s
Gnuplot not found, using plotters backend
Benchmarking LEM Fibonacci Prove - rc = 900/fib/num-500-cc9de142be3f4829d09c4e27771207965eef9a79-2024-01-11
Benchmarking LEM Fibonacci Prove - rc = 900/fib/num-500-cc9de142be3f4829d09c4e27771207965eef9a79-2024-01-11: Warming up for 3.0000 s

=======================================

zeros, scalars, time: 1753383, 7941351, 847.267975ms
zeros, scalars, time: 4626, 10337, 18.9483ms
commit T: zeros, scalars, time: 10357, 10357, 505.101µs
zeros, scalars, time: 1757881, 7941351, 548.476278ms
commit T: zeros, scalars, time: 6752860, 9699051, 159.193017ms
zeros, scalars, time: 3440, 10337, 13.257333ms
commit T: zeros, scalars, time: 4321, 10357, 11.43605ms
zeros, scalars, time: 1757207, 7941351, 554.064449ms
commit T: zeros, scalars, time: 5966166, 9699051, 329.453026ms
zeros, scalars, time: 3426, 10337, 12.656345ms
commit T: zeros, scalars, time: 3212, 10357, 15.037615ms
zeros, scalars, time: 1757312, 7941351, 552.643811ms
commit T: zeros, scalars, time: 5341906, 9699051, 366.211021ms
zeros, scalars, time: 3445, 10337, 13.096732ms

Warning: Unable to complete 10 samples in 120.0s. You may wish to increase target time to 133.4s.
Benchmarking LEM Fibonacci Prove - rc = 900/fib/num-500-cc9de142be3f4829d09c4e27771207965eef9a79-2024-01-11: Collecting 10 samples in estimated 133.43 s (10 iterations)

=======================================

zeros, scalars, time: 1753383, 7941351, 559.733825ms
zeros, scalars, time: 4626, 10337, 9.158439ms
commit T: zeros, scalars, time: 10357, 10357, 527.173µs
zeros, scalars, time: 1757881, 7941351, 552.398933ms
commit T: zeros, scalars, time: 6752860, 9699051, 151.258935ms
zeros, scalars, time: 3440, 10337, 11.264345ms
commit T: zeros, scalars, time: 4321, 10357, 16.699649ms
zeros, scalars, time: 1757207, 7941351, 555.784256ms
commit T: zeros, scalars, time: 5966166, 9699051, 341.349577ms
zeros, scalars, time: 3426, 10337, 22.523756ms
commit T: zeros, scalars, time: 3212, 10357, 12.282814ms
zeros, scalars, time: 1757312, 7941351, 556.916798ms
commit T: zeros, scalars, time: 5341906, 9699051, 356.455873ms
zeros, scalars, time: 3445, 10337, 14.381925ms

=======================================

zeros, scalars, time: 1753383, 7941351, 559.482651ms
zeros, scalars, time: 4626, 10337, 8.33881ms
commit T: zeros, scalars, time: 10357, 10357, 511.954µs
zeros, scalars, time: 1757881, 7941351, 556.780422ms
commit T: zeros, scalars, time: 6752860, 9699051, 156.812372ms
zeros, scalars, time: 3440, 10337, 16.870737ms
commit T: zeros, scalars, time: 4321, 10357, 10.731183ms
zeros, scalars, time: 1757207, 7941351, 542.007872ms
commit T: zeros, scalars, time: 5966166, 9699051, 335.988562ms
zeros, scalars, time: 3426, 10337, 7.690977ms
commit T: zeros, scalars, time: 3212, 10357, 16.840075ms
zeros, scalars, time: 1757312, 7941351, 550.016943ms
commit T: zeros, scalars, time: 5341906, 9699051, 356.570987ms
zeros, scalars, time: 3445, 10337, 11.335363ms

=======================================

zeros, scalars, time: 1753383, 7941351, 546.645273ms
zeros, scalars, time: 4626, 10337, 16.397215ms
commit T: zeros, scalars, time: 10357, 10357, 645.827µs
zeros, scalars, time: 1757881, 7941351, 554.671033ms
commit T: zeros, scalars, time: 6752860, 9699051, 148.005848ms
zeros, scalars, time: 3440, 10337, 11.370989ms
commit T: zeros, scalars, time: 4321, 10357, 9.323651ms
zeros, scalars, time: 1757207, 7941351, 547.293595ms
commit T: zeros, scalars, time: 5966166, 9699051, 344.175223ms
zeros, scalars, time: 3426, 10337, 14.81722ms
commit T: zeros, scalars, time: 3212, 10357, 9.651791ms
zeros, scalars, time: 1757312, 7941351, 546.401347ms
commit T: zeros, scalars, time: 5341906, 9699051, 343.450722ms
zeros, scalars, time: 3445, 10337, 11.25213ms

=======================================

zeros, scalars, time: 1753383, 7941351, 544.661655ms
zeros, scalars, time: 4626, 10337, 11.541149ms
commit T: zeros, scalars, time: 10357, 10357, 688.291µs
zeros, scalars, time: 1757881, 7941351, 543.333908ms
commit T: zeros, scalars, time: 6752860, 9699051, 161.214169ms
zeros, scalars, time: 3440, 10337, 14.271439ms
commit T: zeros, scalars, time: 4321, 10357, 9.727561ms
zeros, scalars, time: 1757207, 7941351, 550.146788ms
commit T: zeros, scalars, time: 5966166, 9699051, 323.54532ms
zeros, scalars, time: 3426, 10337, 27.002386ms
commit T: zeros, scalars, time: 3212, 10357, 13.820435ms
zeros, scalars, time: 1757312, 7941351, 544.117215ms
commit T: zeros, scalars, time: 5341906, 9699051, 356.109591ms
zeros, scalars, time: 3445, 10337, 9.279578ms

=======================================

zeros, scalars, time: 1753383, 7941351, 558.446133ms
zeros, scalars, time: 4626, 10337, 12.357464ms
commit T: zeros, scalars, time: 10357, 10357, 1.322616ms
zeros, scalars, time: 1757881, 7941351, 548.780802ms
commit T: zeros, scalars, time: 6752860, 9699051, 150.386332ms
zeros, scalars, time: 3440, 10337, 9.07248ms
commit T: zeros, scalars, time: 4321, 10357, 7.780242ms
zeros, scalars, time: 1757207, 7941351, 559.290401ms
commit T: zeros, scalars, time: 5966166, 9699051, 317.419659ms
zeros, scalars, time: 3426, 10337, 8.984643ms
commit T: zeros, scalars, time: 3212, 10357, 14.446419ms
zeros, scalars, time: 1757312, 7941351, 545.47734ms
commit T: zeros, scalars, time: 5341906, 9699051, 341.77525ms
zeros, scalars, time: 3445, 10337, 27.513862ms

=======================================

zeros, scalars, time: 1753383, 7941351, 551.266476ms
zeros, scalars, time: 4626, 10337, 20.828792ms
commit T: zeros, scalars, time: 10357, 10357, 526.157µs
zeros, scalars, time: 1757881, 7941351, 544.676505ms
commit T: zeros, scalars, time: 6752860, 9699051, 148.925532ms
zeros, scalars, time: 3440, 10337, 15.76487ms
commit T: zeros, scalars, time: 4321, 10357, 10.00217ms
